REF_AREA,TIME_PERIOD,INDICATOR,OBS_VALUE,REF_AREA_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,FREQ,OBS_STATUS,INDICATOR_LABEL
TTO,2016,WB_WDI_NY_GDP_MKTP_CD,2.36E+10,Trinidad and Tobago,USD,US dollars,A,A,GDP (current US$)
TUN,2016,WB_WDI_NY_GDP_MKTP_CD,4.44E+10,Tunisia,USD,US dollars,A,A,GDP (current US$)
TUR,2016,WB_WDI_NY_GDP_MKTP_CD,8.71E+11,Türkiye,USD,US dollars,A,A,GDP (current US$)
TKM,2016,WB_WDI_NY_GDP_MKTP_CD,3.62E+10,Turkmenistan,USD,US dollars,A,A,GDP (current US$)
TCA,2016,WB_WDI_NY_GDP_MKTP_CD,1.20E+09,Turks and Caicos Islands,USD,US dollars,A,A,GDP (current US$)
TUV,2016,WB_WDI_NY_GDP_MKTP_CD,4.16E+07,Tuvalu,USD,US dollars,A,A,GDP (current US$)
UGA,2016,WB_WDI_NY_GDP_MKTP_CD,2.92E+10,Uganda,USD,US dollars,A,A,GDP (current US$)
UKR,2016,WB_WDI_NY_GDP_MKTP_CD,9.34E+10,Ukraine,USD,US dollars,A,A,GDP (current US$)
ARE,2016,WB_WDI_NY_GDP_MKTP_CD,3.82E+11,United Arab Emirates,USD,US dollars,A,A,GDP (current US$)
GBR,2016,WB_WDI_NY_GDP_MKTP_CD,2.71E+12,United Kingdom,USD,US dollars,A,A,GDP (current US$)
CHL,2014,WB_WDI_NY_GDP_MKTP_CD,2.60E+11,Chile,USD,US dollars,A,A,GDP (current US$)
CHN,2014,WB_WDI_NY_GDP_MKTP_CD,1.07E+13,China,USD,US dollars,A,A,GDP (current US$)
COL,2014,WB_WDI_NY_GDP_MKTP_CD,3.81E+11,Colombia,USD,US dollars,A,A,GDP (current US$)
COM,2014,WB_WDI_NY_GDP_MKTP_CD,1.15E+09,Comoros,USD,US dollars,A,A,GDP (current US$)
COD,2014,WB_WDI_NY_GDP_MKTP_CD,3.84E+10,"Congo, Dem. Rep.",USD,US dollars,A,A,GDP (current US$)
COG,2014,WB_WDI_NY_GDP_MKTP_CD,1.79E+10,"Congo, Rep.",USD,US dollars,A,A,GDP (current US$)
CRI,2014,WB_WDI_NY_GDP_MKTP_CD,5.20E+10,Costa Rica,USD,US dollars,A,A,GDP (current US$)
CIV,2014,WB_WDI_NY_GDP_MKTP_CD,4.88E+10,Côte d?�Ivoire,USD,US dollars,A,A,GDP (current US$)
HRV,2014,WB_WDI_NY_GDP_MKTP_CD,5.96E+10,Croatia,USD,US dollars,A,A,GDP (current US$)
CUB,2014,WB_WDI_NY_GDP_MKTP_CD,8.07E+10,Cuba,USD,US dollars,A,A,GDP (current US$)
CUW,2014,WB_WDI_NY_GDP_MKTP_CD,3.06E+09,Curaçao,USD,US dollars,A,A,GDP (current US$)
SUR,2014,WB_WDI_NY_GDP_MKTP_CD,5.24E+09,Suriname,USD,US dollars,A,A,GDP (current US$)
SWE,2014,WB_WDI_NY_GDP_MKTP_CD,5.78E+11,Sweden,USD,US dollars,A,A,GDP (current US$)
CHE,2014,WB_WDI_NY_GDP_MKTP_CD,7.27E+11,Switzerland,USD,US dollars,A,A,GDP (current US$)
SYR,2014,WB_WDI_NY_GDP_MKTP_CD,2.15E+10,Syrian Arab Republic,USD,US dollars,A,A,GDP (current US$)
TJK,2014,WB_WDI_NY_GDP_MKTP_CD,9.11E+09,Tajikistan,USD,US dollars,A,A,GDP (current US$)
TZA,2014,WB_WDI_NY_GDP_MKTP_CD,5.00E+10,Tanzania,USD,US dollars,A,A,GDP (current US$)
THA,2014,WB_WDI_NY_GDP_MKTP_CD,4.07E+11,Thailand,USD,US dollars,A,A,GDP (current US$)
TLS,2014,WB_WDI_NY_GDP_MKTP_CD,1.45E+09,Timor-Leste,USD,US dollars,A,A,GDP (current US$)
TGO,2014,WB_WDI_NY_GDP_MKTP_CD,6.39E+09,Togo,USD,US dollars,A,A,GDP (current US$)
TON,2014,WB_WDI_NY_GDP_MKTP_CD,4.41E+08,Tonga,USD,US dollars,A,A,GDP (current US$)
TTO,2014,WB_WDI_NY_GDP_MKTP_CD,2.95E+10,Trinidad and Tobago,USD,US dollars,A,A,GDP (current US$)
JAM,2014,WB_WDI_NY_GDP_MKTP_CD,1.39E+10,Jamaica,USD,US dollars,A,A,GDP (current US$)
JPN,2014,WB_WDI_NY_GDP_MKTP_CD,4.90E+12,Japan,USD,US dollars,A,A,GDP (current US$)
JOR,2014,WB_WDI_NY_GDP_MKTP_CD,3.68E+10,Jordan,USD,US dollars,A,A,GDP (current US$)
KAZ,2014,WB_WDI_NY_GDP_MKTP_CD,2.21E+11,Kazakhstan,USD,US dollars,A,A,GDP (current US$)
KEN,2014,WB_WDI_NY_GDP_MKTP_CD,6.83E+10,Kenya,USD,US dollars,A,A,GDP (current US$)
KIR,2014,WB_WDI_NY_GDP_MKTP_CD,2.00E+08,Kiribati,USD,US dollars,A,A,GDP (current US$)
KOR,2014,WB_WDI_NY_GDP_MKTP_CD,1.56E+12,"Korea, Rep.",USD,US dollars,A,A,GDP (current US$)
XKX,2014,WB_WDI_NY_GDP_MKTP_CD,7.07E+09,Kosovo,USD,US dollars,A,A,GDP (current US$)
KWT,2014,WB_WDI_NY_GDP_MKTP_CD,1.63E+11,Kuwait,USD,US dollars,A,A,GDP (current US$)
KGZ,2014,WB_WDI_NY_GDP_MKTP_CD,7.47E+09,Kyrgyz Republic,USD,US dollars,A,A,GDP (current US$)
GUY,2016,WB_WDI_NY_GDP_MKTP_CD,4.48E+09,Guyana,USD,US dollars,A,A,GDP (current US$)
HTI,2016,WB_WDI_NY_GDP_MKTP_CD,1.41E+10,Haiti,USD,US dollars,A,A,GDP (current US$)
HND,2016,WB_WDI_NY_GDP_MKTP_CD,2.17E+10,Honduras,USD,US dollars,A,A,GDP (current US$)
HKG,2016,WB_WDI_NY_GDP_MKTP_CD,3.21E+11,"Hong Kong SAR, China",USD,US dollars,A,A,GDP (current US$)
HUN,2016,WB_WDI_NY_GDP_MKTP_CD,1.29E+11,Hungary,USD,US dollars,A,A,GDP (current US$)
ISL,2016,WB_WDI_NY_GDP_MKTP_CD,2.11E+10,Iceland,USD,US dollars,A,A,GDP (current US$)
IND,2016,WB_WDI_NY_GDP_MKTP_CD,2.29E+12,India,USD,US dollars,A,A,GDP (current US$)
IDN,2016,WB_WDI_NY_GDP_MKTP_CD,9.32E+11,Indonesia,USD,US dollars,A,A,GDP (current US$)
IRN,2016,WB_WDI_NY_GDP_MKTP_CD,4.79E+11,"Iran, Islamic Rep.",USD,US dollars,A,A,GDP (current US$)
IRQ,2016,WB_WDI_NY_GDP_MKTP_CD,1.67E+11,Iraq,USD,US dollars,A,A,GDP (current US$)
IRL,2016,WB_WDI_NY_GDP_MKTP_CD,3.05E+11,Ireland,USD,US dollars,A,A,GDP (current US$)
KHM,2010,WB_WDI_NY_GDP_MKTP_CD,1.38E+10,Cambodia,USD,US dollars,A,A,GDP (current US$)
CMR,2010,WB_WDI_NY_GDP_MKTP_CD,2.75E+10,Cameroon,USD,US dollars,A,A,GDP (current US$)
CAN,2010,WB_WDI_NY_GDP_MKTP_CD,1.62E+12,Canada,USD,US dollars,A,A,GDP (current US$)
CYM,2010,WB_WDI_NY_GDP_MKTP_CD,4.16E+09,Cayman Islands,USD,US dollars,A,A,GDP (current US$)
CAF,2010,WB_WDI_NY_GDP_MKTP_CD,2.14E+09,Central African Republic,USD,US dollars,A,A,GDP (current US$)
